지역,LAT,LON
서울,37.541,126.986
부산,35.18376,129.0755
대구,35.87145,128.6014
인천,37.45622,126.7052
광주,35.16008,126.8515
대전,36.35042,127.3845
울산,35.53874,129.3114
수원,37.27461,127.0095
춘천,37.8863,127.7301
청주,36.63558,127.4914
전주,35.821,127.1114
창원,35.23829,128.6924
제주,33.48901,126.4983
